"feature","01_INACTvsControl","P_01_INACTvsControl","FDR_01_INACTvsControl","01_ACTvsControl","P_01_ACTvsControl","FDR_01_ACTvsControl","01_ACTvsINACT","P_01_ACTvsINACT","FDR_01_ACTvsINACT","01_AA.CTRLvsEA.CTRL","P_01_AA.CTRLvsEA.CTRL","FDR_01_AA.CTRLvsEA.CTRL","01_AA.INACTvsEA.INACT","P_01_AA.INACTvsEA.INACT","FDR_01_AA.INACTvsEA.INACT","01_AA.ACTvsEA.ACT","P_01_AA.ACTvsEA.ACT","FDR_01_AA.ACTvsEA.ACT","01_AA.INACTvsAA.CTRL","P_01_AA.INACTvsAA.CTRL","FDR_01_AA.INACTvsAA.CTRL","01_AA.ACTvsAA.CTRL","P_01_AA.ACTvsAA.CTRL","FDR_01_AA.ACTvsAA.CTRL","01_AA.ACTvsAA.INACT","P_01_AA.ACTvsAA.INACT","FDR_01_AA.ACTvsAA.INACT","01_EA.INACTvsEA.CTRL","P_01_EA.INACTvsEA.CTRL","FDR_01_EA.INACTvsEA.CTRL","01_EA.ACTvsEA.CTRL","P_01_EA.ACTvsEA.CTRL","FDR_01_EA.ACTvsEA.CTRL","01_EA.ACTvsEA.INACT","P_01_EA.ACTvsEA.INACT","FDR_01_EA.ACTvsEA.INACT"
"ARID5B",0.00884004700350671,0.124347846462154,0.179360346673536,0.0125895336550607,0.192343760839137,0.419412761780273,-0.00437236319619153,0.441338072328729,0.762311215840533,0.092094074448307,0.0344755824123482,0.32699567560803,-0.0358331930259188,9.7210335315389e-05,0.000121833158169799,0.0325386208632051,0.281043825500303,0.563629024815051,0.012686108831395,0.477559408837248,0.644440227383698,0.000260845480541949,0.826194041754982,0.908803130001407,-0.00428578420731748,0.687155467459076,0.840043358751927,0.0110863209286274,0.241086376042903,0.399239455026856,0.0198973359324079,0.0544506354724541,0.334057441362293,-0.00652282133103962,0.0711280742523041,0.433880523176982
"ARIH1",-0.0237545385576779,4.22178886654935e-05,0.000948495232018088,-0.015087464824517,0.0279362959891223,0.14624493067726,0.0102316384105425,0.113350068166691,0.494811968039878,0.0271207777832456,0.115437696327461,0.494958889732812,NA,NA,NA,-0.0257993552598007,0.0866149363094269,0.323441797980477,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0262311742966248,0.00146028328192045,0.0206537981783149,-0.0099672157674069,0.400456220276989,0.759534302206618,0.0145479508016891,0.0638477415757645,0.428273192496658
"ARL6IP1",0.013939964747934,2.48744175522924e-05,0.000670614297209802,0.010343385941147,0.0200725047784727,0.123302529353475,-0.000786684181999717,0.966167817525282,0.984676779546839,NA,NA,NA,0.0441700710363051,2.97236718888108e-07,5.02835239858143e-07,-0.00135662794723208,0.397189558116309,0.676255579265375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016637265733134,0.000571049013300073,0.0115405021525061,0.0104481367484332,0.166494624699006,0.533472421742672,-0.00826297231053993,0.267666592227068,0.674597362101734
"ARL6IP4",0.000725473545293738,0.980885759886787,0.983805062743593,-0.00724046173254685,0.355650706490707,0.56987981566163,-0.00855466976439825,0.377182661983831,0.737644061660019,0.00913226795500605,0.887020199938672,0.984116624607626,-0.00889864813538507,2.59737655060885e-11,2.04844484323033e-10,1.56249200473821,0.066129193956147,0.275201579499119,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67909785228695e-05,0.739774942565108,0.820714369877219,-0.00308379665576994,0.900514661273728,0.978171778369423,-0.00443351183910448,0.276843248862239,0.680628719670815
"ARL6IP5",0.00584047599428831,0.000603204290170599,0.00446768891840642,NA,NA,NA,-0.000978306636208275,0.905543123513422,0.968455419148232,NA,NA,NA,-0.0365831667504211,0.0212348360348344,0.022385492174653,0.0107071290411001,0.563498169167615,0.777307578133838,NA,NA,NA,0.00972200599167718,0.307102382151985,0.574737791497288,4.75193286347964e-09,0.351208053443324,0.640104786003266,0.0104724131674845,0.000285221665873039,0.00885205813013112,NA,NA,NA,-0.00571126984206963,0.134076714207457,0.532604246531885
"ARPC1B",-0.000169581005120628,0.00107396398639055,0.00646296184667167,0.00341393909487411,0.882549795632942,0.92899796732274,0.00792071279257039,0.0190709509733439,0.237790919948881,0.00490247885196862,0.717423288307589,0.951231049507369,0.0495806782539897,2.72604855150497e-10,1.18451652796358e-09,0.00303951104523505,0.0114000824558642,0.122606769157677,-0.0123158286699651,0.248936355825491,0.458159129593218,0.010458897730108,0.0435984202019483,0.271473502197347,0.0297137974390919,0.0243060134901415,0.222102967816979,0.00818755254809964,0.00844132704242356,0.0543371348138227,-0.00332096591377999,0.630702373170791,0.880340396372671,-0.00225127520518612,0.359710838069385,0.732879876145587
"ARPC2",0.00102657432535273,0.000323521941251002,0.00294667281625913,0.00484583497344661,0.178768170308365,0.405767049321626,0.00795607598069482,0.0264090217159224,0.26438472445825,-0.0208529215082711,0.683784288562053,0.951231049507369,-0.0412098723610323,2.42654441238161e-05,3.23539254984214e-05,0.0124241792842784,0.0576946351677657,0.263712561579329,-0.0109297921951047,0.11818995214796,0.333358383205613,0.0258731808422745,0.428280797788061,0.692120488956311,0.0130644371407938,0.014587959597892,0.208351244553177,0.0100446225176679,0.00163695720070712,0.0215532698093104,-0.00157149411413676,0.51468956148147,0.818231466278315,-0.000539607262522598,0.104772943126414,0.491259027937128
"ARPC3",0.020859592900982,0.00315011042426776,0.0127136193171046,0.0136730890794536,0.160898330802561,0.389650428406236,-0.00703826469801852,0.172673699011781,0.582450269729629,0.0894889970339238,0.00196359956491862,0.14164011746258,-0.127104362243716,4.66207306209926e-10,1.83904817564837e-09,-0.0335743538683689,0.112941896347848,0.359122493604607,0.00309501472609638,0.274121210464264,0.478717417702028,0.00067683446763217,0.91883868278627,0.962199609389667,0.00137137601947875,0.579982656895073,0.780646330730704,0.0325869789946866,0.00859192691049527,0.0548998859207382,0.0203912316646242,0.0539817897996827,0.334057441362293,-0.0114785725090208,0.318385460238037,0.700109899933307
"ARPC5",0.00496111486815305,0.122188510752555,0.177107647843489,0.00362409032828028,0.386066440738856,0.595249850860308,0.0022099578144906,0.784186644862086,0.927254824676074,NA,NA,NA,0.0145977507715005,2.08001208254855e-06,3.11819674721814e-06,-0.000737623252643267,0.484421779143876,0.735007872366296,0.00798706018383884,0.599623008644127,0.723762633788956,0.0302691530163999,0.42225867564877,0.692120488956311,0.00706925889153265,0.580800870063644,0.780646330730704,0.00545882044747139,0.184790685623508,0.337818071096324,0.00184169141941936,0.738185959580867,0.927285024258805,-0.000206617439656383,0.424114863962374,0.751175229275052
"ASH1L",-0.0069066541600371,0.00726033882519094,0.0231359914892031,-0.00139968606575672,0.965757159411245,0.980965933575202,0.0028041751178047,0.363202520322145,0.719195065054769,-0.0233571232828726,0.394991224863301,0.807599214082361,-0.0262543220284626,0.178644568366699,0.180756206290655,0.0298427501360273,0.816075758336755,0.923875239314159,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00755077915220888,0.0758127362673055,0.195493376309461,0.00135794782740123,0.928911530376634,0.982432800193256,0.00633670642512357,0.689155567662883,0.863236538728903
"ATF7IP",-0.03495649868171,0.0308688839152904,0.0652214036329332,-0.0226281317630385,0.251983162298075,0.474675307534381,0.00891748927574998,0.626726646339678,0.855034886158651,0.00107681401516266,0.226546018404921,0.667366833562672,-0.0137384295089754,1.15012365874399e-05,1.57773373699496e-05,0.0923072618917383,0.0181157039111493,0.151947800504481,-0.0254417072915743,0.261948956138842,0.474672401949307,-0.00472524735269136,0.712925329262247,0.860681874187065,0.0177518811239364,0.650179580789181,0.820395489336986,-0.0513494637256787,0.0495349868120033,0.148434150136658,-0.0501246907338114,0.0289086493884377,0.271043843001533,0.00202031706033995,0.98289062402774,0.990781806557847
